PlaylistName,CollaborativePlaylist,SongName,AddedBy,Artist,Feature1,Feature2,Feature3,Feature4,Feature5
wistful ,False,Heavy,1261707344,The Marías,NaN,NaN,NaN,NaN,NaN
wistful ,False,Kingston,1261707344,Faye Webster,NaN,NaN,NaN,NaN,NaN
wistful ,False,"I Love You, I'm Sorry",1261707344,Gracie Abrams,NaN,NaN,NaN,NaN,NaN
wistful ,False,A New Kind Of Love - Demo,1261707344,Frou Frou,Imogen Heap,Guy Sigsworth,NaN,NaN,NaN
wistful ,False,Hello?,1261707344,Clairo,Rejjie Snow,NaN,NaN,NaN,NaN
wistful ,False,In A Good Way,1261707344,Faye Webster,NaN,NaN,NaN,NaN,NaN
wistful ,False,Softly,1261707344,Clairo,NaN,NaN,NaN,NaN,NaN
wistful ,False,Right Side of My Neck,1261707344,Faye Webster,NaN,NaN,NaN,NaN,NaN
wistful ,False,Show Me How,1261707344,Men I Trust,NaN,NaN,NaN,NaN,NaN
wistful ,False,Bags,1261707344,Clairo,NaN,NaN,NaN,NaN,NaN
wistful ,False,Juna,1261707344,Clairo,NaN,NaN,NaN,NaN,NaN
wistful ,False,Mrs Magic,1261707344,Strawberry Guy,NaN,NaN,NaN,NaN,NaN
wistful ,False,Good Looking,1261707344,Suki Waterhouse,NaN,NaN,NaN,NaN,NaN
wistful ,False,I Know You,1261707344,Faye Webster,NaN,NaN,NaN,NaN,NaN
fall🍂,False,September - Instrumental,1261707344,Goomp,NaN,NaN,NaN,NaN,NaN
fall🍂,False,Insomniac,1261707344,Memo Boy,Chakra Efendi,NaN,NaN,NaN,NaN
fall🍂,False,Brian is the Most Beautiful,1261707344,Memo Boy,NaN,NaN,NaN,NaN,NaN
fall🍂,False,Sweater Weather,1261707344,The Neighbourhood,NaN,NaN,NaN,NaN,NaN
fall🍂,False,Wicked Game,1261707344,Chris Isaak,NaN,NaN,NaN,NaN,NaN
fall🍂,False,1979 - Remastered 2012,1261707344,The Smashing Pumpkins,NaN,NaN,NaN,NaN,NaN
fall🍂,False,She,1261707344,"Tyler, The Creator",Frank Ocean,NaN,NaN,NaN,NaN
fall🍂,False,Rosyln,1261707344,Bon Iver,St. Vincent,NaN,NaN,NaN,NaN
fall🍂,False,Telephones,1261707344,Vacations,NaN,NaN,NaN,NaN,NaN
fall🍂,False,(Don't Fear) The Reaper,1261707344,Blue Öyster Cult,NaN,NaN,NaN,NaN,NaN
fall🍂,False,September,1261707344,"Earth, Wind & Fire",NaN,NaN,NaN,NaN,NaN
fall🍂,False,Her,1261707344,The American Dawn,NaN,NaN,NaN,NaN,NaN
🌝,False,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",1261707344,Kali Uchis,"Tyler, The Creator",Bootsy Collins,NaN,NaN,NaN
🌝,False,Moonlight,1261707344,Kali Uchis,NaN,NaN,NaN,NaN,NaN
🌝,False,Something About You,1261707344,Eyedress,Dent May,NaN,NaN,NaN,NaN
🌝,False,telepatía,1261707344,Kali Uchis,NaN,NaN,NaN,NaN,NaN
🌝,False,See You Again (feat. Kali Uchis),1261707344,"Tyler, The Creator",Kali Uchis,NaN,NaN,NaN,NaN
🌝,False,Lovers Rock,1261707344,TV Girl,NaN,NaN,NaN,NaN,NaN
🌝,False,Cigarettes out the Window,1261707344,TV Girl,NaN,NaN,NaN,NaN,NaN
🌝,False,She,1261707344,"Tyler, The Creator",Frank Ocean,NaN,NaN,NaN,NaN
🌝,False,EARFQUAKE,1261707344,"Tyler, The Creator",NaN,NaN,NaN,NaN,NaN
🌝,False,In My Room,1261707344,Frank Ocean,NaN,NaN,NaN,NaN,NaN
🌝,False,Potato Salad,1261707344,"Tyler, The Creator",A$AP Rocky,NaN,NaN,NaN,NaN
🌝,False,SMUCKERS (feat. Lil Wayne & Kanye West),1261707344,"Tyler, The Creator",Lil Wayne,Kanye West,NaN,NaN,NaN
🌝,False,Sundress,1261707344,A$AP Rocky,NaN,NaN,NaN,NaN,NaN
🌝,False,Who Dat Boy (feat. A$AP Rocky),1261707344,"Tyler, The Creator",A$AP Rocky,NaN,NaN,NaN,NaN
🌝,False,Dark Red,1261707344,Steve Lacy,NaN,NaN,NaN,NaN,NaN
🌝,False,Shut up My Moms Calling,1261707344,Hotel Ugly,NaN,NaN,NaN,NaN,NaN
🌝,False,In My Head,1261707344,Bedroom,NaN,NaN,NaN,NaN,NaN
🌝,False,My Kind of Woman,1261707344,Mac DeMarco,NaN,NaN,NaN,NaN,NaN
🌝,False,Moonlight on the River,1261707344,Mac DeMarco,NaN,NaN,NaN,NaN,NaN
🌝,False,Not Allowed,1261707344,TV Girl,NaN,NaN,NaN,NaN,NaN
🌝,False,Just the Two of Us (feat. Bill Withers),1261707344,"Grover Washington, Jr.",Bill Withers,NaN,NaN,NaN,NaN
gym in a rap mood,False,Stronger,1261707344,Kanye West,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,Passionfruit,1261707344,Drake,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,I KNOW ?,1261707344,Travis Scott,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,Drip Too Hard (Lil Baby & Gunna),1261707344,Lil Baby,Gunna,NaN,NaN,NaN,NaN
gym in a rap mood,False,Work Out,1261707344,J. Cole,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,Going Bad (feat. Drake),1261707344,Meek Mill,Drake,NaN,NaN,NaN,NaN
gym in a rap mood,False,Startender (feat. Offset and Tyga),1261707344,A Boogie Wit da Hoodie,Tyga,Offset,NaN,NaN,NaN
gym in a rap mood,False,Nonstop,1261707344,Drake,NaN,NaN,NaN,NaN,NaN
